"Vitticatantops humeralis (Thunberg, 1815)","Eyprepocnemis calceata (Serville, 1838)","Thericles miserabilis (Descamps, 1977)","Conocephalus conocephalus (Linnaeus, 1767)","Conocephalus caudalis (Walker, 1869)","Conocephalus longiceps (Péringuey, 1916)","Pnorisa squalus (Stål, 1861)","Gymnobothrus carinatus (Uvarov, 1941)","Pseudoarcyptera cephalica (Bolívar, 1914)","Crucinotacris cruciata (Bolívar, 1912)","Oxya hyla (Serville, 1831)","Gastrimargus drakensbergensis (Ritchie, 1982)","Eucoptacra turneri (Miller, 1932)","Phloeonotus humilis (Gerstaecker, 1869)","Machaeridia conspersa (I. Bolívar, 1889)","Duronia chloronota curta (Uvarov, 1953)","Mesopsis abbreviata (Palisot de Beauvois, 1806)","Rhachitopis melanopus (Burmeister, 1838)","Rhaphotittha levis (Karsch, 1896)","Pnorisa angulata (Karny, 1910)","Oxya glabra (Ramme, 1929)","Anthermus granosus (Stål, 1878)","Acrida bicolor (Thunberg, 1815)","Betiscoides parva (Key, 1937)","Tettiella odiosa (Walker, 1871)","Spathosternum nigrotaeniatum (Stål, 1876)","Zonocerus elegans elegans (Thunberg, 1815) ","Dasyleurotettix infaustus (Walker, 1871)","Diablepia viridis (Kirby, 1902)","Trigonidium erythrocephalum (Walker, 1869)","Xya sp1 (Latreille, 1809)","Acrida propinqua (Burr, 1902)","Ornithacris cyanea cyanea (Stoll, 1813)","Phaneroptera sparsa (Stål, 1857)","Lentula obtusifrons (Stål, 1878)","Faureia milanjica (Karsch, 1896)","Ruspolia consobrina (Walker, 1869)","Cyrtacanthacris aeruginosa aeruginosa (Stoll, 1813)","Anablepia pilosa (Uvarov, 1953)","Xya sp2 (Latreille, 1809)","Alfredectes semiaeneus (Serville, 1838)","Paratettix scaber (Thunberg, 1815)","Scintharista rosacea (Kirby, 1902) ","Scintharista saucia (Stål, 1873)","Paracinema tricolor tricolor (Thunberg, 1815)","Dirshia abbreviata (Brown, 1962)","Conocephalus vaginalis (Karny, 1907)","Heteracris drakensbergensis (Grunshaw, 1991)","Duronia chloronota chloronota (Stål, 1876)","Clonia wahlbergi wahlbergi (Stål, 1855)","Acanthogryllus fortipes (Walker, 1869)","Rhabdoplea munda (Karsch, 1893)","Aiolopus meruensis (Sjöstedt, 1909)","Scintharista magnifica (Uvarov, 1922)","Stenoscepa picticeps (Bolívar, 1904)","Paratettix subpustulata (Walker, 1871)","Trachytettix scaberrimus scaberrimus (Stål, 1876)","Phymateus viridipes viridipes (Stål, 1873)","Petamella prosternalis (Karny, 1907)","Acanthoxia gladiator (Westwood, 1842)","Chrotogonus hemipterus (Schaum, 1853)","Lophothericles marginatus (Descamps, 1977)","Phymateus leprosus leprosus (Fabricius, 1793)","Pagopedilum sordidum (Walker, 1870)","Pagopedilum subcruciatum (Karsch, 1896)","Morphacris fasciata (Thunberg, 1815)","Dictyophorus spumans pulchra (Bolívar, 1904)","Gastrimargus africanus africanus (Saussure, 1888)","Gastrimargus determinatus determinatus (Walker, 1871)","Acrida acuminata (Stål, 1873)"
12,0,0,0,5,0,8,2,0,0,0,0,4,24,0,0,5,8,0,12,7,3,0,0,15,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
5,0,0,5,8,0,0,2,0,0,0,0,0,2,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,5,2,3,0,0,2,0,0,3,0,0,0,3,4,0,9,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,1,0,7,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,2
0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,0,1,7,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,0,0,2,5,0,9,2,0,1,0,5,0,2,1,4,0,5,0,5,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,4,4,0,3,4,0,1,4,0,0,0,3,6,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,6,10,0,0,0,0,0,0,0,0,6,2,1,14,0,0,1,4,0,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,6
2,0,0,12,11,0,3,0,0,0,1,0,0,4,0,6,0,3,0,1,3,0,1,0,0,12,1,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,4
3,0,1,8,4,0,0,1,0,0,2,1,0,1,2,9,0,2,0,1,0,0,0,2,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
6,0,0,3,5,0,0,4,0,1,20,0,0,0,0,0,0,0,0,0,3,0,0,0,1,4,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,1,0,0,1,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,1,1,3,2,0,0,0,0,0,8,0,2,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,0,10,11,0,3,2,0,0,0,0,1,0,1,1,19,5,0,3,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
1,0,0,0,2,0,4,2,0,0,0,0,0,5,0,0,0,0,0,10,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5
3,0,0,1,3,0,3,0,3,1,3,0,0,3,1,1,1,1,0,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,1,4,0,0,8,3,0,0,0,0,1,0,0,0,0,0,7,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0
2,0,0,0,1,0,0,0,0,0,0,0,2,1,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
10,0,0,3,4,0,11,0,0,0,0,0,1,1,3,0,10,1,0,13,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,3,0,7,4,0,1,2,0,1,14,0,0,1,1,2,0,0,0,1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
4,0,0,4,7,0,0,1,0,0,13,0,0,0,3,1,0,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
7,1,0,79,13,0,5,0,1,4,96,0,0,0,0,0,0,2,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,0,0,0,1,0,0,19,0,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5
4,0,0,0,0,0,3,0,0,3,13,1,0,0,0,0,0,3,0,5,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,13,0,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
5,0,0,0,1,0,5,0,0,0,2,3,0,1,0,0,0,1,0,8,1,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
0,0,0,0,0,0,0,0,0,1,10,0,0,5,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,9,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,1,0,0,0,0,10,2,0,14,7,0,0,0,0,1,0,2,0,1,15,1,0,0,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
3,0,0,4,4,4,0,0,0,0,15,0,0,0,0,0,0,2,5,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,18,0,2,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4
2,9,0,8,1,0,4,0,0,0,5,0,0,0,4,10,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,1,0,4,0,0,19,0,0,0,16,3,0,1,0,0,0,1,0,21,1,0,1,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,2,0,0,7,0,0,0,76,0,25,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2
6,0,0,19,12,5,16,0,0,0,7,0,0,8,0,28,0,4,0,25,4,5,0,0,10,1,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,1,0,0,3,3,0,0,1,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,0,0,18,13,10,4,0,0,0,12,1,0,1,0,14,0,1,2,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,1,0,2,0,0,0,7,0,0,0,0,3,0,2,0,5,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1
8,0,0,4,7,0,0,2,0,0,0,0,0,0,5,4,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,6,0,0,0,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,2,0,0,0,0,0,3,4,5,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,1,0,1,28,0,0,0,0,3,0,6,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
0,0,0,0,0,0,0,0,0,6,24,1,0,0,0,1,0,2,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,3,4,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
3,0,0,0,0,0,0,0,0,4,23,0,0,0,0,1,0,1,0,0,1,2,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8
5,0,0,4,4,0,0,0,0,0,18,0,0,0,1,23,7,5,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,1,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,2,1,0,5,0,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,4,2,0,0,2,0,0,0,0,0,1,0,1,1,0,3,0,1,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
1,5,0,1,1,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,1,0,0,0,0,29,0,0,0,0,0,1,0,0,0,1,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,2,0,1,0,0,0,0,11,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
0,0,0,2,1,0,0,0,0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
7,0,0,0,0,2,0,3,1,1,3,0,1,0,3,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,12,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2,0,0,0,0,0,1,0,0,1,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,3,1,0,0,2,1,2,0,5,0,0,0,1,0,6,2,0,0,0,1,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,13
0,4,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
